# jieba 领域词典 — 计算机 / IT / 通信 / 网络 / AI 智算
# 格式: 词语 词频(可选) 词性(可选)
# 词频越高，jieba 越倾向将其保留为完整词组
# --- 计算机基础 ---
知识蒸馏 50 n
自然语言处理 100 n
计算机视觉 100 n
语音识别 80 n
图像识别 80 n
目标检测 80 n
语义分割 60 n
实例分割 50 n
推荐系统 80 n
智能推荐 60 n
知识图谱 80 n
图神经网络 60 n
人机对话 50 n
问答系统 60 n
智能客服 60 n
# --- AI 智算与硬件加速 ---
智算中心 80 n
智能计算 80 n
异构计算 60 n
GPU计算 60 n
AI芯片 80 n
图形处理器 80 n
张量处理器 60 n
神经网络处理器 50 n
现场可编程门阵列 50 n
专用集成电路 50 n
张量核心 40 n
CUDA核心 40 n
并行计算 60 n
分布式训练 60 n
模型并行 40 n
数据并行 40 n
混合精度训练 50 n
分布式推理 40 n
推理加速 50 n
算力网络 50 n
算力调度 40 n
# --- 项目管理与工程 ---
敏捷开发 60 n
Scrum 60 n
看板 50 n
DevOps 80 n
项目管理 60 n
需求分析 50 n
系统设计 60 n
架构设计 60 n
软件测试 60 n
质量保证 50 n
Code Review 50 n
技术债务 40 n
重构 50 n
上线部署 50 n
灰度发布 40 n
蓝绿部署 40 n
回滚 50 n
监控告警 50 n
可观测性 50 n
日志收集 50 n
链路追踪 50 n
性能优化 60 n
性能测试 50 n
压力测试 50 n
容量规划 40 n
# --- 前端开发 ---
用户界面 60 n
用户体验 60 n
响应式设计 50 n
前端框架 60 n
跨平台开发 50 n
浏览器兼容 50 n
渐进式Web应用 40 n
单页应用 50 n
状态管理 50 n
组件化开发 50 n
模块化开发 50 n
构建工具 50 n
包管理器 50 n
# --- 后端开发 ---
后端服务 60 n
API网关 60 n
RESTful接口 60 n
远程过程调用 50 n
GraphQL 50 n
gRPC 50 n
数据持久化 50 n
对象关系映射 50 n
连接池 50 n
事务管理 50 n
分布式事务 50 n
分布式缓存 60 n
分布式存储 60 n
分布式数据库 60 n
搜索引擎 60 n
全文检索 50 n
实时计算 60 n
流式计算 50 n
批处理 50 n
大数据 100 n
数据仓库 80 n
数据湖 50 n
数据中台 60 n
数据治理 60 n
数据清洗 50 n
ETL 50 n
商业智能 50 n
数据可视化 60 n
# --- 物联网 ---
物联网 100 n
车联网 60 n
工业物联网 60 n
传感器 80 n
智能传感器 50 n
数据采集 60 n
边缘节点 50 n
网关设备 50 n
嵌入式系统 80 n
实时操作系统 60 n
# --- 移动开发 ---
移动应用 60 n
原生应用 50 n
混合应用 40 n
跨平台框架 50 n
应用商店 50 n
推送通知 40 n
移动端适配 40 n
# --- 区块链 ---
区块链 100 n
分布式账本 60 n
智能合约 60 n
共识机制 50 n
工作量证明 40 n
权益证明 40 n
去中心化 60 n
加密货币 60 n
# --- 标准与规范 ---
国际标准 60 n
国家标准 50 n
行业标准 50 n
技术规范 50 n
协议标准 50 n
接口规范 40 n
数据格式 50 n
编码标准 40 n
# --- 进阶/新增 计算机领域词 ---
云计算平台 60 n
云服务提供商 40 n
弹性云服务器 40 n
裸金属服务器 40 n
容器实例 40 n
函数计算 40 n
并行文件系统 40 n
分布式文件系统 50 n
网络文件系统 40 n
数据备份 50 n
数据恢复 50 n
数据迁移 50 n
数据同步 50 n
数据复制 50 n
主从复制 40 n
读写分离 40 n
分库分表 40 n
数据库中间件 40 n
消息中间件 50 n
服务注册发现 50 n
配置中心 50 n
分布式协调 40 n
全局唯一ID 30 n
分布式锁 40 n
熔断降级 40 n
限流 50 n
服务雪崩 30 n
流量控制 40 n
流量整形 30 n
全链路压测 40 n
混沌工程 30 n
A/B测试 50 n
数据脱敏 40 n
数据加密 50 n
密钥管理 50 n
身份管理 40 n
单点登录 60 n
多因素认证 40 n
生物识别 50 n
# --- 运维与监控 ---
运维自动化 50 n
配置管理 50 n
基础设施即代码 50 n
编排工具 40 n
容器管理平台 50 n
持续交付 50 n
自动化运维 50 n
智能运维 40 n
告警管理 40 n
故障自愈 30 n
标准化作业 30 n
安全合规 50 n
审计跟踪 40 n
操作审计 40 n
# --- 存储 ---
分布式存储系统 50 n
软件定义存储 40 n
NVMe 40 n
非易失性内存 30 n
存储区域网络 40 n
网络附加存储 40 n
直接附加存储 30 n
数据压缩 50 n
数据去重 40 n
快照 50 n
灾备 40 n
双活数据中心 30 n
# --- 数据库细分 ---
内存数据库 50 n
时序数据库 50 n
向量数据库 60 n
图数据库系统 40 n
搜索引擎系统 40 n
缓存系统 50 n
列式存储 40 n
数据湖仓 40 n
湖仓一体 40 n
# --- AI平台与工具 ---
模型训练平台 40 n
模型推理平台 40 n
数据集管理 40 n
特征工程 50 n
模型评估 40 n
超参数调优 40 n
自动化机器学习 40 n
可解释AI 40 n
大模型应用 60 n
提示工程 50 n
检索增强生成 60 n
Agent框架 40 n
多智能体 40 n
